Date,clearsky,surface pressure,clr sky insolation,wind speed 2 m,temp at 2 m,temp at 2 max,specific humidity,relative humidity,wind direction,wind speed
01-01-2023,22.2,96.33,0.71,0.5,22.17,27.11,13.12,77.03,96.25,1.16
02-01-2023,21.79,95.1,0.7,0.71,20.85,26.63,12.64,79.54,56.47,1.54
03-01-2023,21.53,96.96,0.69,1.28,21.82,27.74,13.26,79.96,51.14,2.24
04-01-2023,20.96,100.01,0.68,1.96,23.51,29.03,14.53,81.42,62.86,3.05
05-01-2023,21.33,100.92,0.67,2.65,24.26,28.33,15.62,83.75,42.19,3.76
06-01-2023,21.18,95.74,0.66,0.79,21.54,27.32,12.6,76.81,79.52,1.66
07-01-2023,20.98,94.61,0.62,0.99,20.62,26.57,12.34,78.56,70.96,1.82
08-01-2023,20.8,96.37,0.63,1.32,21.64,27.63,12.94,78.77,68.05,2.14
09-01-2023,20.54,99.24,0.59,1.65,23.05,29.11,14.02,80.58,64.96,2.64
10-01-2023,20.56,100.53,0.65,2.03,23.56,28.84,15.05,74.34,45.19,3.14
11-01-2023,20.59,96.12,0.56,1.15,21.73,28.2,12.19,74.96,77.26,2.11
12-01-2023,20.27,97.76,0.57,1.26,21.79,28.6,12.26,74.92,81.97,2.15
13-01-2023,21.14,99.15,0.58,1.38,22.71,29.67,12.73,76.88,76.14,2.22
14-01-2023,21.44,100.03,0.53,1.56,23.33,30.26,13.42,81.25,61.15,2.5
15-01-2023,21.49,94.41,0.64,1.77,23.31,29.55,14.37,71.26,49.25,2.85
16-01-2023,21,96.16,0.61,1.09,20.84,27.77,11.21,70.94,75.63,1.95
17-01-2023,21.27,97.91,0.55,1.17,21.84,29.37,11.51,71.16,83.06,2.02
18-01-2023,21.24,98.57,0.43,1.3,22.91,30.69,12.02,73.71,73.95,2.19
19-01-2023,21.35,98.94,0.51,1.11,23.13,30.72,13.64,79.06,53.61,2.54
20-01-2023,21.05,92.9,0.52,1.02,22.85,29.53,10.42,68.37,49.78,2.69
21-01-2023,20.42,94.43,0.45,1.49,19.99,27.09,10.71,69.2,84.62,1.86
22-01-2023,20.57,96.13,0.49,1.48,20.73,28.27,11.3,71.19,84.04,2.05
23-01-2023,20.83,97.16,0.44,1.22,21.93,29.29,12.07,74.44,71.06,2.49
24-01-2023,20.14,93.04,0.42,1.25,22.01,29.46,13.09,79.22,56.45,2.43
25-01-2023,21.55,93.59,0.48,1.41,19.8,28.48,10.39,68.78,62.12,2.21
26-01-2023,21.2,94.45,0.54,1.31,19.72,27.04,10.7,71.94,91.99,2.39
27-01-2023,21.28,95.64,0.35,0.63,19.93,27.18,11.18,75.06,83.5,2.16
28-01-2023,20.52,97.07,0.5,0.86,20.49,27.39,11.81,77.47,71.58,1.96
29-01-2023,20.71,96.28,0.46,1.53,21.19,27.61,12.66,80.38,71.11,2.71
30-01-2023,20.12,95.06,0.6,2.22,21.55,26.41,12.48,76.41,96.56,3.46
31-01-2023,20.38,96.93,0.73,2.9,20.18,25.6,12.21,80.04,87.47,4.12
01-02-2023,19.64,99.99,0.74,1.01,21.24,26.75,13.04,80.92,65.89,2.34
02-02-2023,20.05,100.89,0.72,1.24,23.1,26.65,14.43,81.93,55.55,2.7
03-02-2023,19.95,95.69,0.47,1.62,23.95,25.79,15.17,82.53,51.06,3.09
04-02-2023,19.4,94.57,0.38,1.9,21.01,26.84,12.2,80.06,51.19,2.88
05-02-2023,21.26,96.35,0.29,2.2,19.97,28.36,12.05,81.37,90.61,2.9
06-02-2023,18.68,99.23,0.3,1.61,20.99,28.17,12.79,83.84,84.12,3.07
07-02-2023,20.85,100.5,0.39,1.7,22.58,27.68,13.96,76.25,76.64,3.24
08-02-2023,17.89,96.07,0.31,1.8,23.14,28.07,14.77,76.62,64.08,2.79
09-02-2023,17.84,97.74,0.41,1.89,21.2,29.1,12.13,78.18,56.53,2.73
10-02-2023,19.67,99.13,0.33,1.97,21.28,29.58,13.47,81.91,87.63,3.11
11-02-2023,19.9,94.37,0.34,1.57,22.22,28.81,14.25,74.32,92.16,3.17
12-02-2023,19.7,97.88,0.36,1.6,22.89,27.33,11.41,73.91,89.32,2.52
13-02-2023,19.35,98.54,0.28,1.69,22.9,28.91,11.78,76.03,75.26,2.58
14-02-2023,19.58,98.92,0.4,1.92,20.25,30.22,12.37,80.53,63.06,3.04
15-02-2023,19.11,92.86,0.17,1.94,21.4,30.17,12.99,74.12,88.38,2.94
16-02-2023,21.06,94.4,0.15,1.46,22.62,28.89,13.79,74.89,85.14,3.19
17-02-2023,19.59,96.11,0.25,1.87,22.87,26.79,10.79,75.71,81.32,2.87
18-02-2023,19.73,97.13,0.27,1.83,22.56,27.81,11.35,77.62,75.84,3
19-02-2023,20.29,93,0.37,1.72,19.3,28.77,12.74,81.62,66.97,2.66
20-02-2023,20.21,93.56,0.23,1.86,20.3,29,13.55,75.3,95.79,1.53
21-02-2023,19.97,94.42,0.22,1.68,21.88,28.06,10.91,77.88,88.22,1.88
22-02-2023,19.36,95.61,0.32,0.64,21.9,26.76,11.47,79.95,80.38,3.7
23-02-2023,19.8,97.05,0.24,0.84,19.19,26.68,12.1,76.97,76.78,4.46
24-02-2023,19.13,96.31,0.75,2.47,19.44,26.77,13.49,82.51,70.78,2.08
25-02-2023,20.53,95.09,0.76,3.19,19.92,27.1,12.82,83.18,99.42,2.28
26-02-2023,20.16,96.95,0.77,0.98,20.56,27.06,12.85,82.46,96.66,3.27
27-02-2023,19.56,100,0.26,2.14,21.81,26.52,13.56,83.03,89.8,3.79
